species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
Gentoo,Biscoe,42.894844349140136,11.354593209110682,219.49535687237162,5230.6619284310855,female,2009
Adelie,Torgersen,47.48863040411137,16.157177053859545,205.52989663714186,3899.637261451648,female,2009
Gentoo,Biscoe,42.420367133865824,22.884822439467747,189.81228896751924,4572.914489846412,male,2008
Gentoo,Biscoe,40.50028882693863,11.696421031291827,218.8956979115123,5260.203900302113,male,2008
Gentoo,Biscoe,33.36909997881985,18.116309365022257,192.59147681032644,4784.759268100742,male,2009
Adelie,Biscoe,46.90321482718507,13.858125486023717,233.52817934567645,4246.374830586731,female,2009
Adelie,Dream,46.02414119965525,21.235100873796146,215.51492352497786,3827.2173219552374,female,2009
Gentoo,Biscoe,49.761671062282105,18.084264414885006,198.50869731042442,5757.857657234687,male,2009
Gentoo,Biscoe,36.70709294125591,10.960247377931173,240.53014792421692,5982.757727158685,male,2007
Adelie,Dream,36.25517578243431,20.44904503186275,205.20881526262485,4141.340353155776,male,2009
Gentoo,Biscoe,57.18027089153109,12.99276017192029,195.98555586518614,5371.696733229825,male,2009
Adelie,Biscoe,44.24193998490154,19.801912109262524,208.36138001256984,4243.733048243938,male,2009
Gentoo,Biscoe,32.18196311455951,13.746445074022102,189.0936874772575,4072.10234806599,female,2007
Gentoo,Dream,36.15174160509992,20.722104082546142,193.33531722333785,2599.304480604512,male,2009
Gentoo,Dream,44.59275119356525,19.73564602764444,174.53001270652254,2759.3269009933706,male,2007
Gentoo,Dream,29.912576731604396,16.491019957148044,191.11064255270054,3182.191648368185,female,2009
Chinstrap,Biscoe,34.37323423858604,21.24471713733039,170.86431871759174,4431.74399808792,female,2008
Gentoo,Biscoe,53.61676201301794,14.993433139411275,206.17556812625043,5158.136079692219,female,2009
Adelie,Biscoe,45.07534799314935,17.41351865357007,186.1058046527169,4354.538944148747,male,2008
Gentoo,Torgersen,43.88551039882618,17.23350971847,198.4225009255336,3782.1130708672563,male,2007
Gentoo,Biscoe,54.60722321616401,16.59317458395682,220.96130053249328,5048.956393742972,male,2007
Gentoo,Dream,39.323047603941234,19.84354473762651,207.84530321710054,2659.5780188244917,female,2009
Gentoo,Biscoe,38.62788578157834,12.517795338167561,217.73977464852905,3766.221576479883,female,2008
Gentoo,Dream,53.9656230124722,17.0838605352341,181.3554239368798,2633.6340429351435,female,2009
Gentoo,Biscoe,42.61396775997817,11.89845693998687,201.38809800774928,2096.9335231856307,female,2009
Gentoo,Dream,36.503528177450164,17.835916401084404,193.95623856130655,4300.042889103322,female,2008
Gentoo,Dream,21.87712633569177,17.978283233625657,195.5119218110761,3449.11795053772,male,2007
Gentoo,Biscoe,36.20150650481095,17.28818702466493,179.86359485433738,3873.4218148694563,female,2009
Gentoo,Dream,40.45638219330789,20.631061385532334,194.02647237310225,3801.2620401529593,female,2009
Gentoo,Biscoe,44.82170137424665,16.412163205724468,196.71559507072624,3402.617333734802,female,2008
Chinstrap,Biscoe,36.807744150080005,12.799266320457113,232.9440053950165,2836.525175110254,female,2009
Gentoo,Biscoe,51.33838118417375,12.908087545923626,211.033742006822,3862.7945381027293,female,2008
Adelie,Biscoe,47.686013294483324,19.61172140119995,242.09748391500287,6188.514241718168,male,2008
Adelie,Dream,30.413589755882466,19.959426309954175,169.77927085375495,2834.9297565485026,female,2009
Gentoo,Biscoe,49.946575853126866,17.19664673399203,223.5141297917144,2841.9742500770853,male,2009
Adelie,Biscoe,45.008515576950316,14.58385420283173,222.24484791152443,4412.433938739951,female,2007
Gentoo,Biscoe,51.28060629477119,17.442534550980447,244.6026846887954,4475.006654115492,male,2008
Gentoo,Dream,50.56858455969834,20.04271748920101,166.79814980727892,4247.22125536452,female,2009
Gentoo,Biscoe,41.482176865373546,15.013359882912036,195.97790525097113,3214.752619928364,female,2009
Gentoo,Dream,55.052185703942676,15.457132790146439,218.44807540097133,4914.991842752923,male,2009
Gentoo,Dream,39.40612521147217,17.924532395343896,171.2398357731557,2249.255744002564,female,2008
Gentoo,Biscoe,54.41159419974434,15.805692984868687,217.72658755657204,3411.037629075703,female,2007
Gentoo,Biscoe,53.19681296097043,14.76272576616,213.63150260838435,5677.756912842926,male,2009
Gentoo,Torgersen,40.81623798633377,15.705286506342603,194.38563065104134,3318.413390186719,male,2009
Gentoo,Biscoe,41.15961470979166,12.441121827400565,223.9960494077834,3437.4836624232903,female,2009
Gentoo,Dream,35.78178911277415,21.56168298701965,200.52952232470398,3706.9440167918997,male,2009
Adelie,Biscoe,50.287863599505066,16.860892774910653,211.9982541069403,4008.9671959654193,female,2008
Gentoo,Biscoe,46.12408464874891,16.988212338236025,204.40110541335036,4248.215723306854,male,2008
