year,Team,Wins,Losses,Runs Scored,Runs Allowed
1999,Blue Jays,84,78,883,862
1998,Angels,85,77,787,783
1998,Diamondbacks,65,97,665,812
1998,Braves,106,56,826,581
1998,Orioles,79,83,817,785
1998,Red Sox,92,70,876,729
1998,White Sox,80,82,861,931
1998,Cubs,90,73,831,792
1998,Reds,77,85,750,760
1998,Indians,89,73,850,779
1998,Rockies,77,85,826,855
1998,Tigers,65,97,722,863
1998,Marlins,54,108,667,923
1998,Astros,102,60,874,620
1998,Royals,72,89,714,899
1998,Dodgers,83,79,669,678
1998,Brewers,74,88,707,812
1998,Twins,70,92,734,818
1998,Expos,65,97,644,783
1998,Yankees,114,48,965,656
1998,Angels,88,74,706,645
1998,Athletics,74,88,804,866
1998,Phillies,75,87,713,808
1998,Pirates,69,93,650,718
1998,Padres,98,64,749,635
1998,Mariners,76,85,859,855
1998,Giants,89,74,845,739
1998,Cardinals,83,79,810,782
1998,Rays,63,99,620,751
1998,Rangers,88,74,940,871
1998,Blue Jays,88,74,816,768
1997,Angels,84,78,829,794
1997,Braves,101,61,791,581
1997,Orioles,98,64,812,681
1997,Red Sox,78,84,851,857
1997,White Sox,80,81,779,833
1997,Cubs,68,94,687,759
1997,Reds,76,86,651,764
1997,Indians,86,75,868,815
1997,Rockies,83,79,923,908
1997,Tigers,79,83,784,790
1997,Marlins,92,70,740,669
1997,Astros,84,78,777,660
1997,Royals,67,94,747,820
1997,Dodgers,88,74,742,645
1997,Twins,68,94,772,861
1997,Brewers,78,83,681,742
1997,Expos,78,84,691,740
1997,Yankees,96,66,891,688
1997,Angels,88,74,777,709
1997,Athletics,65,97,764,946
1997,Phillies,68,94,668,840
1997,Pirates,79,83,725,760
1997,Padres,76,86,795,891
1997,Mariners,90,72,925,833
1997,Giants,90,72,784,793
1997,Cardinals,73,89,689,708
1997,Rangers,77,85,807,823
1997,Blue Jays,76,86,654,694
1996,Braves,96,66,773,648
1996,Orioles,88,74,949,903
1996,Red Sox,85,77,928,921
1996,Angels,70,91,762,943
1996,White Sox,85,77,898,794
1996,Cubs,76,86,772,771
1996,Reds,81,81,778,773
1996,Indians,99,62,952,769
1996,Rockies,83,79,961,964
1996,Tigers,53,109,783,1103
1996,Marlins,80,82,688,703
1996,Astros,82,80,753,792
1996,Royals,75,86,746,786
1996,Dodgers,90,72,703,652
1996,Twins,78,84,877,900
1996,Brewers,80,82,894,899
1996,Expos,88,74,741,668
1996,Yankees,92,70,871,787
1996,Angels,71,91,746,779
1996,Athletics,78,84,861,900
1996,Phillies,67,95,650,790
1996,Pirates,73,89,776,833
1996,Padres,91,71,771,682
1996,Mariners,85,76,993,895
1996,Giants,68,94,752,862
1996,Cardinals,88,74,759,706
1996,Rangers,90,72,928,799
1996,Blue Jays,74,88,766,809
1995,Braves,90,54,645,540
1995,Orioles,71,73,704,640
1995,Red Sox,86,58,791,698
1995,Angels,78,67,801,697
1995,White Sox,68,76,755,758
1995,Cubs,73,71,693,671
1995,Reds,85,59,747,623
1995,Indians,100,44,840,607
1995,Rockies,77,67,785,783
1995,Tigers,60,84,654,844
1995,Marlins,67,76,673,673
1995,Astros,76,68,747,674
1995,Royals,70,74,629,691
1995,Dodgers,78,66,634,609
1995,Twins,56,88,703,889
1995,Brewers,65,79,740,747
1995,Expos,66,78,621,638
1995,Yankees,79,65,749,688
1995,Angels,69,75,657,618
1995,Athletics,67,77,730,761
1995,Phillies,69,75,615,658
1995,Pirates,58,86,629,736
1995,Padres,70,74,668,672
1995,Mariners,79,66,796,708
1995,Giants,67,77,652,776
1995,Cardinals,62,81,563,658
1995,Rangers,74,70,691,720
1995,Blue Jays,56,88,642,777
1994,Braves,68,46,542,448
1994,Orioles,63,49,589,497
1994,Red Sox,54,61,552,621
1994,Angels,47,68,543,660
1994,White Sox,67,46,633,498
1994,Cubs,49,64,500,549
1994,Reds,66,48,609,490
1994,Indians,66,47,679,562
1994,Rockies,53,64,573,638
1994,Tigers,53,62,652,671
1994,Marlins,51,64,468,576
1994,Astros,66,49,602,503
1994,Royals,64,51,574,532
1994,Dodgers,58,56,532,509
1994,Twins,53,60,594,688
1994,Brewers,53,62,547,586
1994,Expos,74,40,585,454
1994,Yankees,70,43,670,534
1994,Angels,55,58,506,526
1994,Athletics,51,63,549,589
1994,Phillies,54,61,521,497
1994,Pirates,53,61,466,580
1994,Padres,47,70,479,531
1994,Mariners,49,63,569,616
1994,Giants,55,60,504,500
1994,Cardinals,53,61,535,621
1994,Rangers,52,62,613,697
1994,Blue Jays,55,60,566,579
1993,Braves,104,58,767,559
1993,Orioles,85,77,786,745
1993,Red Sox,80,82,686,698
1993,Angels,71,91,684,770
1993,White Sox,94,68,776,664
1993,Cubs,84,78,738,739
1993,Reds,73,89,722,785
1993,Indians,76,86,790,813
1993,Rockies,67,95,758,967
1993,Tigers,85,77,899,837
1993,Marlins,64,98,581,724
1993,Astros,85,77,716,630
1993,Royals,84,78,675,694
1993,Dodgers,81,81,675,662
1993,Twins,71,91,693,830
1993,Brewers,69,93,733,792
1993,Expos,94,68,732,682
1993,Yankees,88,74,821,761
1993,Angels,59,103,672,744
1993,Athletics,68,94,715,846
1993,Phillies,97,65,877,740
1993,Pirates,75,87,707,806
1993,Padres,61,101,679,772
1993,Mariners,82,80,734,731
1993,Giants,103,59,808,636
1993,Cardinals,87,75,758,744
1993,Rangers,86,76,835,751
1993,Blue Jays,95,67,847,742
1992,Braves,98,64,682,569
1992,Orioles,89,73,705,656
1992,Red Sox,73,89,599,669
1992,Angels,72,90,579,671
1992,White Sox,86,76,738,690
1992,Cubs,78,84,593,624
1992,Reds,90,72,660,609
1992,Indians,76,86,674,746
1992,Tigers,75,87,791,794
1992,Astros,81,81,608,668
1992,Royals,72,90,610,667
1992,Dodgers,63,99,548,636
1992,Twins,90,72,747,653
1992,Brewers,92,70,740,604
1992,Expos,87,75,648,581
1992,Yankees,76,86,733,746
1992,Angels,72,90,599,653
1992,Athletics,96,66,745,672
1992,Phillies,70,92,686,717
1992,Pirates,96,66,693,595
1992,Padres,82,80,617,636
1992,Mariners,64,98,679,799
1992,Giants,72,90,574,647
1992,Cardinals,83,79,631,604
1992,Rangers,77,85,682,753
1992,Blue Jays,96,66,780,682
1991,Braves,94,68,749,644
1991,Orioles,67,95,686,796
1991,Red Sox,84,78,731,712
1991,Angels,81,81,653,649
1991,White Sox,87,75,758,681
1991,Cubs,77,83,695,734
1991,Reds,74,88,689,691
1991,Indians,57,105,576,759
1991,Tigers,84,78,817,794
1991,Astros,65,97,605,717
1991,Royals,82,80,727,722
1991,Dodgers,93,69,665,565
1991,Twins,95,67,776,652
1991,Brewers,83,79,799,744
1991,Expos,71,90,579,655
1991,Yankees,71,91,674,777
1991,Angels,77,84,640,646
1991,Athletics,84,78,760,776
1991,Phillies,78,84,629,680
1991,Pirates,98,64,768,632
1991,Padres,84,78,636,646
1991,Mariners,83,79,702,674
1991,Giants,75,87,649,697
1991,Cardinals,84,78,651,648
1991,Rangers,85,77,829,814
1991,Blue Jays,91,71,684,622
1990,Braves,65,97,682,821
1990,Orioles,76,85,669,698
1990,Red Sox,88,74,699,664
1990,Angels,80,82,690,706
1990,White Sox,94,68,682,633
1990,Cubs,77,85,690,774
1990,Reds,91,71,693,597
1990,Indians,77,85,732,737
1990,Tigers,79,83,750,754
1990,Astros,75,87,573,656
1990,Royals,75,86,707,709
1990,Dodgers,86,76,728,685
1990,Twins,74,88,666,729
1990,Brewers,74,88,732,760
1990,Expos,85,77,662,598
1990,Yankees,67,95,603,749
1990,Angels,91,71,775,613
1990,Athletics,103,59,733,570
1990,Phillies,77,85,646,729
1990,Pirates,95,67,733,619
1990,Padres,75,87,673,673
1990,Mariners,77,85,640,680
1990,Giants,85,77,719,710
1990,Cardinals,70,92,599,698
1990,Rangers,83,79,676,696
1990,Blue Jays,86,76,767,661
1989,Braves,63,97,584,680
1989,Orioles,87,75,708,686
1989,Red Sox,83,79,774,735
1989,Angels,91,71,669,578
1989,White Sox,69,92,693,750
1989,Cubs,93,69,702,623
1989,Reds,75,87,632,691
1989,Indians,73,89,604,654
1989,Tigers,59,103,617,816
1989,Astros,86,76,647,669
1989,Royals,92,70,690,635
1989,Dodgers,77,83,554,536
1989,Twins,80,82,740,738
1989,Brewers,81,81,707,679
1989,Expos,81,81,632,630
1989,Yankees,74,87,698,792
1989,Angels,87,75,683,595
1989,Athletics,99,63,712,576
1989,Phillies,67,95,629,735
1989,Pirates,74,88,637,680
1989,Padres,89,73,642,626
1989,Mariners,73,89,694,728
1989,Giants,92,70,699,600
1989,Cardinals,86,76,632,608
1989,Rangers,83,79,695,714
1989,Blue Jays,89,73,731,651
1988,Braves,54,106,555,741
1988,Orioles,54,107,550,789
1988,Red Sox,89,73,813,689
1988,Angels,75,87,714,771
1988,White Sox,71,90,631,757
1988,Cubs,77,85,660,694
1988,Reds,87,74,641,596
1988,Indians,78,84,666,731
1988,Tigers,88,74,703,658
1988,Astros,82,80,617,631
1988,Royals,84,77,704,648
1988,Dodgers,94,67,628,544
1988,Twins,91,71,759,672
1988,Brewers,87,75,682,616
1988,Expos,81,81,628,592
1988,Yankees,85,76,772,748
1988,Angels,100,60,703,532
1988,Athletics,104,58,800,620
1988,Phillies,65,96,597,734
1988,Pirates,85,75,651,616
1988,Padres,83,78,594,583
1988,Mariners,68,93,664,744
1988,Giants,83,79,670,626
1988,Cardinals,76,86,578,633
1988,Rangers,70,91,637,735
1988,Blue Jays,87,75,763,680
1987,Braves,69,92,747,829
1987,Orioles,67,95,729,880
1987,Red Sox,78,84,842,825
1987,Angels,75,87,770,803
1987,White Sox,77,85,748,746
1987,Cubs,76,85,720,801
1987,Reds,84,78,783,752
1987,Indians,61,101,742,957
1987,Tigers,98,64,896,735
1987,Astros,76,86,648,678
1987,Royals,83,79,715,691
1987,Dodgers,73,89,635,675
1987,Twins,85,77,786,806
1987,Brewers,91,71,862,817
1987,Expos,91,71,741,720
1987,Yankees,89,73,788,758
1987,Angels,92,70,823,698
1987,Athletics,81,81,806,789
1987,Phillies,80,82,702,749
1987,Pirates,80,82,723,744
1987,Padres,65,97,668,763
1987,Mariners,78,84,760,801
1987,Giants,90,72,783,669
1987,Cardinals,95,67,798,693
1987,Rangers,75,87,823,849
1987,Blue Jays,96,66,845,655
1986,Braves,72,89,615,719
1986,Orioles,73,89,708,760
1986,Red Sox,95,66,794,696
1986,Angels,92,70,786,684
1986,White Sox,72,90,644,699
1986,Cubs,70,90,680,781
1986,Reds,86,76,732,717
1986,Indians,84,78,831,841
1986,Tigers,87,75,798,714
1986,Astros,96,66,654,569
1986,Royals,76,86,654,673
1986,Dodgers,73,89,638,679
1986,Twins,71,91,741,839
1986,Brewers,77,84,667,734
1986,Expos,78,83,637,688
1986,Yankees,90,72,797,738
1986,Angels,108,54,783,578
1986,Athletics,76,86,731,760
1986,Phillies,86,75,739,713
1986,Pirates,64,98,663,700
1986,Padres,74,88,656,723
1986,Mariners,67,95,718,835
1986,Giants,83,79,698,618
1986,Cardinals,79,82,601,611
1986,Rangers,87,75,771,743
1986,Blue Jays,86,76,809,733
1985,Braves,66,96,632,781
1985,Orioles,83,78,818,764
1985,Red Sox,81,81,800,720
1985,Angels,90,72,732,703
1985,White Sox,85,77,736,720
1985,Cubs,77,84,686,729
1985,Reds,89,72,677,666
1985,Indians,60,102,729,861
1985,Tigers,84,77,729,688
1985,Astros,83,79,706,691
1985,Royals,91,71,687,639
1985,Dodgers,95,67,682,579
1985,Twins,77,85,705,782
1985,Brewers,71,90,690,802
1985,Expos,84,77,633,636
1985,Yankees,97,64,839,660
1985,Angels,98,64,695,568
1985,Athletics,77,85,757,787
1985,Phillies,75,87,667,673
1985,Pirates,57,104,568,708
1985,Padres,83,79,650,622
1985,Mariners,74,88,719,818
1985,Giants,62,100,556,674
1985,Cardinals,101,61,747,572
1985,Rangers,62,99,617,785
1985,Blue Jays,99,62,759,588
1984,Braves,80,82,632,655
1984,Orioles,85,77,681,667
1984,Red Sox,86,76,810,764
1984,Angels,81,81,696,697
1984,White Sox,74,88,679,736
1984,Cubs,96,65,762,658
1984,Reds,70,92,627,747
1984,Indians,75,87,761,766
1984,Tigers,104,58,829,643
1984,Astros,80,82,693,630
1984,Royals,84,78,673,686
1984,Dodgers,79,83,580,600
1984,Twins,81,81,673,675
1984,Brewers,67,94,641,734
1984,Expos,78,83,593,585
1984,Yankees,87,75,758,679
1984,Angels,90,72,652,676
1984,Athletics,77,85,738,796
1984,Phillies,81,81,720,690
1984,Pirates,75,87,615,567
1984,Padres,92,70,686,634
1984,Mariners,74,88,682,774
1984,Giants,66,96,682,807
1984,Cardinals,84,78,652,645
1984,Rangers,69,92,656,714
1984,Blue Jays,89,73,750,696
1983,Braves,88,74,746,640
1983,Orioles,98,64,799,652
1983,Red Sox,78,84,724,775
1983,Angels,70,92,722,779
1983,White Sox,99,63,800,650
1983,Cubs,71,91,701,719
1983,Reds,74,88,623,710
1983,Indians,70,92,704,785
1983,Tigers,92,70,789,679
1983,Astros,85,77,643,646
1983,Royals,79,83,696,767
1983,Dodgers,91,71,654,609
1983,Twins,70,92,709,822
1983,Brewers,87,75,764,708
1983,Expos,82,80,677,646
1983,Yankees,91,71,770,703
1983,Angels,68,94,575,680
1983,Athletics,74,88,708,782
1983,Phillies,90,72,696,635
1983,Pirates,84,78,659,648
1983,Padres,81,81,653,653
1983,Mariners,60,102,558,740
1983,Giants,79,83,687,697
1983,Cardinals,79,83,679,710
1983,Rangers,77,85,639,609
1983,Blue Jays,89,73,795,726
1982,Braves,89,73,739,702
1982,Orioles,94,68,774,687
1982,Red Sox,89,73,753,713
1982,Angels,93,69,814,670
1982,White Sox,87,75,786,710
1982,Cubs,73,89,676,709
1982,Reds,61,101,545,661
1982,Indians,78,84,683,748
1982,Tigers,83,79,729,685
1982,Astros,77,85,569,620
1982,Royals,90,72,784,717
1982,Dodgers,88,74,691,612
1982,Twins,60,102,657,819
1982,Brewers,95,67,891,717
1982,Expos,86,76,697,616
1982,Yankees,79,83,709,716
1982,Angels,65,97,609,723
1982,Athletics,68,94,691,819
1982,Phillies,89,73,664,654
1982,Pirates,84,78,724,696
1982,Padres,81,81,675,658
1982,Mariners,76,86,651,712
1982,Giants,87,75,673,687
1982,Cardinals,92,70,685,609
1982,Rangers,64,98,590,749
1982,Blue Jays,78,84,651,701
1981,Braves,50,56,395,416
1981,Orioles,59,46,429,437
1981,Red Sox,59,49,519,481
1981,Angels,51,59,476,453
1981,White Sox,54,52,476,423
1981,Cubs,38,65,370,483
1981,Reds,66,42,464,440
1981,Indians,52,51,431,442
1981,Tigers,60,49,427,404
1981,Astros,61,49,394,331
1981,Royals,50,53,397,405
1981,Dodgers,63,47,450,356
1981,Twins,41,68,378,486
1981,Brewers,62,47,493,459
1981,Expos,60,48,443,394
1981,Yankees,59,48,421,343
1981,Angels,41,62,348,432
1981,Athletics,64,45,458,403
1981,Phillies,59,48,491,472
1981,Pirates,46,56,407,425
1981,Padres,41,69,382,455
1981,Mariners,44,65,426,521
1981,Giants,56,55,427,414
1981,Cardinals,59,43,464,417
1981,Rangers,57,48,452,389
1981,Blue Jays,37,69,329,466
1980,Braves,81,80,630,660
1980,Orioles,100,62,805,640
1980,Red Sox,83,77,757,767
1980,Angels,65,95,698,797
1980,White Sox,70,90,587,722
1980,Cubs,64,98,614,728
1980,Reds,89,73,707,670
1980,Indians,79,81,738,807
1980,Tigers,84,78,830,757
1980,Astros,93,70,637,589
1980,Royals,97,65,809,694
1980,Dodgers,92,71,663,591
1980,Twins,77,84,670,724
1980,Brewers,86,76,811,682
1980,Expos,90,72,694,629
1980,Yankees,103,59,820,662
1980,Angels,67,95,611,702
1980,Athletics,83,79,686,642
1980,Phillies,91,71,728,639
1980,Pirates,83,79,666,646
1980,Padres,73,89,591,654
1980,Mariners,59,103,610,793
1980,Giants,75,86,573,634
1980,Cardinals,74,88,738,710
1980,Rangers,76,85,756,752
1980,Blue Jays,67,95,624,762
